"date","computername","adaptername","mac"
"16/11/2024","ALEXANDERWA4F23","Parallels VirtIO Ethernet Adapter","00-1C-42-F3-25-7B"
"16/10/2024","ALEXANDERWA4F23","Parallels VirtIO Ethernet Adapter","00-1C-42-F3-25-7B"
